Month,ANZSCO_TITLE,GCCSA,Adzuna_count,ANZSCO_CODE,IVI_count
2015-03-01,Managers,Australian Capital Territory,404,1,574.667
2015-03-01,Managers,Greater Adelaide,404,1,722
2015-03-01,Managers,Greater Brisbane,208,1,2253.333
2015-03-01,Managers,Greater Darwin,117,1,227.667
2015-03-01,Managers,Greater Hobart,60,1,95
2015-03-01,Managers,Greater Melbourne,2594,1,4788.667
2015-03-01,Managers,Greater Perth,1017,1,1800.667
2015-03-01,Managers,Greater Sydney,4572,1,7866.667
2015-03-01,Managers,Rest of NSW,642,1,840.6659999999999
2015-03-01,Managers,Rest of NT,23,1,46.333
2015-03-01,Managers,Rest of Qld,634,1,1001.333
2015-03-01,Managers,Rest of SA,148,1,55.334
2015-03-01,Managers,Rest of Tas.,139,1,56.667
2015-03-01,Managers,Rest of Vic.,320,1,352.334
2015-03-01,Managers,Rest of WA,186,1,206.667
2015-03-01,Professionals,Australian Capital Territory,827,2,1599.667
2015-03-01,Professionals,Greater Adelaide,664,2,1297.667
2015-03-01,Professionals,Greater Brisbane,473,2,4870.667
2015-03-01,Professionals,Greater Darwin,167,2,395.667
2015-03-01,Professionals,Greater Hobart,112,2,168.333
2015-03-01,Professionals,Greater Melbourne,5230,2,8956.333
2015-03-01,Professionals,Greater Perth,1818,2,3115.333
2015-03-01,Professionals,Greater Sydney,9598,2,14565
2015-03-01,Professionals,Rest of NSW,1305,2,1789
2015-03-01,Professionals,Rest of NT,43,2,125.333
2015-03-01,Professionals,Rest of Qld,1264,2,2285
2015-03-01,Professionals,Rest of SA,40,2,89
2015-03-01,Professionals,Rest of Tas.,162,2,109.666
2015-03-01,Professionals,Rest of Vic.,384,2,816.333
2015-03-01,Professionals,Rest of WA,167,2,478.66700000000003
2015-03-01,Technicians and Trades Workers,Australian Capital Territory,199,3,345.667
2015-03-01,Technicians and Trades Workers,Greater Adelaide,480,3,857
2015-03-01,Technicians and Trades Workers,Greater Brisbane,749,3,2437.333
2015-03-01,Technicians and Trades Workers,Greater Darwin,173,3,297.667
2015-03-01,Technicians and Trades Workers,Greater Hobart,65,3,178.333
2015-03-01,Technicians and Trades Workers,Greater Melbourne,3240,3,4070
2015-03-01,Technicians and Trades Workers,Greater Perth,2332,3,2071.667
2015-03-01,Technicians and Trades Workers,Greater Sydney,4648,3,4843
2015-03-01,Technicians and Trades Workers,Rest of NSW,863,3,1444.667
